A1000019,FEZ,61.79
A1000042,BOWLER,62.93
A1000045,FEZ,56.4
A1000064,BOWLER,122.69
A1000079,FEZ,90.12
A1000089,TOP,24.73
A1000110,PANAMA,31.08
A1000115,TRICORNE,144.45
A1000135,FLAT,88.77
A1000162,STRAW,112.38
A1000182,TRICORNE,43.98
A1000195,PANAMA,15.28
A1000220,SOMBRERO,86.54
A1000238,FLAT,138.23
A1000243,TRICORNE,141.34
A1000249,STETSON,95.13
A1000278,BOATER,114.27
A1000290,SOMBRERO,28.16
A1000314,BOATER,116.19
A1000328,STETSON,103.11
A1000344,FEZ,114.87
A1000358,SOMBRERO,71.79
A1000366,BOATER,49.0
A1000369,FLAT,37.99
A1000372,SOMBRERO,129.47
A1000384,TRICORNE,8.95
A1000385,BOWLER,49.11
A1000405,PANAMA,105.67
A1000412,BOWLER,85.25
A1000435,PANAMA,120.53
A1000444,STRAW,95.62
A1000464,FEZ,50.18
A1000486,TOP,112.08
A1000512,BOATER,31.78
A1000526,TOP,131.07
A1000540,TOP,87.44
A1000565,TRICORNE,82.21
A1000589,BOATER,41.48
A1000600,STETSON,51.37
A1000619,SOMBRERO,66.01
A1000642,STETSON,148.14
A1000656,BOATER,20.11
A1000659,TOP,79.81
A1000687,PANAMA,99.58
A1000694,FEZ,55.91
A1000709,FLAT,138.22
A1000717,BOATER,23.25
A1000744,TOP,10.32
A1000753,BOWLER,46.35
A1000782,FEDORA,137.42
A1000792,FLAT,50.14
A1000809,SOMBRERO,131.69
A1000819,SOMBRERO,51.93
A1000836,FLAT,66.26
A1000837,BOATER,139.42
A1000862,SOMBRERO,25.81
A1000881,TRICORNE,9.22
A1000884,TRICORNE,79.15
A1000887,TOP,69.89
A1000902,FLAT,11.5
A1000923,TOP,76.74
A1000952,BOWLER,73.16
A1000976,PANAMA,106.07
A1000997,STETSON,83.43
A1001003,FEZ,146.85
A1001007,FLAT,73.38
A1001014,STRAW,53.35
A1001036,FEDORA,92.77
A1001048,TOP,59.49
A1001076,STRAW,83.14
A1001078,BOATER,69.88
A1001106,TRICORNE,122.37
A1001130,PANAMA,117.29
A1001141,STETSON,79.09
A1001143,TOP,59.03
A1001144,BOWLER,58.76
A1001168,SOMBRERO,116.74
A1001198,FLAT,11.87
A1001205,STETSON,81.39
A1001215,FEZ,94.32
A1001243,FLAT,26.45
A1001273,TOP,75.06
A1001287,BOATER,103.93
A1001289,FEDORA,92.83
A1001295,PANAMA,7.75
A1001317,FEZ,15.0
A1001327,STETSON,60.59
A1001340,TOP,104.7
A1001362,STETSON,10.06
A1001381,STETSON,58.67
A1001403,FLAT,69.89
A1001416,SOMBRERO,15.75
A1001433,SOMBRERO,64.92
A1001435,STETSON,94.66
A1001462,TOP,121.52
A1001463,BOATER,98.82
A1001469,FEZ,128.6
A1001494,STRAW,144.6
A1001512,BOATER,55.25
A1001526,TRICORNE,88.77
A1001539,BOWLER,92.27
A1001559,FLAT,142.08
A1001584,STRAW,29.65
A1001609,STETSON,84.94
A1001627,BOWLER,120.39
A1001641,STETSON,122.48
A1001665,FEDORA,31.2
A1001666,FEDORA,111.97
A1001686,FLAT,110.46
A1001691,BOATER,117.35
A1001697,FEDORA,48.55
A1001725,PANAMA,112.24
A1001726,PANAMA,16.83
A1001739,PANAMA,79.76
A1001751,FEZ,147.16
A1001752,FEZ,97.73
A1001753,FEZ,108.91
A1001771,SOMBRERO,116.76
A1001773,PANAMA,66.58
A1001776,SOMBRERO,53.18
A1001790,BOATER,23.5
A1001816,FEDORA,104.7
A1001827,TOP,57.44
A1001845,PANAMA,73.25
A1001860,FEDORA,136.59
A1001887,PANAMA,122.27
A1001911,PANAMA,101.5
A1001914,FEDORA,141.33
A1001935,FEDORA,145.02
A1001943,PANAMA,123.05
A1001972,FEZ,72.34
A1001996,BOWLER,39.61
A1002012,STRAW,5.93
A1002015,FLAT,77.17
A1002034,FLAT,82.58
A1002041,PANAMA,142.72
A1002058,STRAW,93.89
A1002079,BOWLER,33.47
A1002102,FEDORA,41.42
A1002118,TRICORNE,119.99
A1002139,STRAW,16.25
A1002165,FEDORA,21.72
A1002195,STRAW,148.77
A1002220,TOP,118.16
A1002230,FEZ,72.74
A1002255,STRAW,86.03
A1002275,FEDORA,141.86
A1002291,FLAT,95.63
A1002318,STETSON,110.36
A1002331,SOMBRERO,93.1
A1002351,TRICORNE,35.25
A1002376,STRAW,145.48
A1002377,SOMBRERO,112.1
A1002381,BOATER,19.52
A1002409,FEDORA,14.9
A1002424,BOWLER,5.01
A1002448,SOMBRERO,107.94
A1002457,BOATER,149.91
A1002462,FLAT,145.76
A1002463,FEDORA,92.46
A1002481,BOATER,5.24
A1002496,PANAMA,5.47
A1002507,PANAMA,5.14
A1002527,TRICORNE,63.99
A1002548,FEDORA,10.2
A1002566,SOMBRERO,44.2
A1002591,TOP,93.41
A1002598,SOMBRERO,85.85
A1002619,BOATER,11.62
A1002636,FLAT,51.07
A1002659,SOMBRERO,68.03
A1002675,BOATER,47.02
A1002692,TRICORNE,141.1
A1002714,FEDORA,97.85
A1002731,BOWLER,13.36
A1002747,TOP,138.89
A1002769,STRAW,97.04
A1002772,PANAMA,32.94
A1002781,BOWLER,123.49
A1002788,TRICORNE,32.91
A1002813,BOATER,83.48
A1002818,FLAT,103.04
A1002829,BOATER,65.38
A1002854,BOATER,60.94
A1002883,FLAT,55.35
A1002886,FEZ,55.94
A1002889,BOATER,86.58
A1002901,BOWLER,91.11
A1002921,TRICORNE,18.88
A1002927,TOP,52.4
A1002957,FEZ,59.5
A1002985,SOMBRERO,127.07
A1002989,FLAT,52.2
A1003007,BOATER,81.73
A1003018,STETSON,65.92
A1003037,BOWLER,126.61
A1003061,SOMBRERO,33.09
A1003073,TRICORNE,114.1
A1003085,SOMBRERO,128.51
A1003088,STETSON,101.59
A1003104,BOWLER,67.1
A1003106,FEZ,80.72
A1003136,FLAT,20.45
A1003148,PANAMA,55.45
A1003156,SOMBRERO,101.02
A1003168,TRICORNE,115.21
A1003196,STRAW,33.01
A1003205,BOWLER,45.68
A1003228,FEZ,77.97
A1003244,STETSON,112.98
A1003268,BOWLER,111.91
A1003281,STRAW,147.82
A1003301,STRAW,95.82
A1003327,BOATER,125.5
A1003329,BOWLER,100.9
A1003355,STETSON,21.03
A1003371,TOP,61.8
A1003398,STETSON,44.17
A1003416,FEZ,120.69
A1003439,BOWLER,24.64
A1003460,FEDORA,95.91
A1003471,FEDORA,94.71
A1003490,FLAT,115.04
A1003504,TOP,65.7
A1003529,TRICORNE,37.83
A1003548,STRAW,113.34
A1003553,STETSON,24.28
A1003558,BOWLER,79.32
A1003585,FEZ,60.69
A1003597,STETSON,33.4
A1003598,STETSON,53.94
A1003617,TOP,55.4
A1003647,FLAT,148.39
A1003651,PANAMA,74.46
A1003655,BOWLER,22.26
A1003681,SOMBRERO,48.64
A1003706,FEDORA,62.61
A1003720,FEDORA,43.52
A1003733,PANAMA,116.16
A1003741,FEDORA,134.67
A1003745,FLAT,92.75
A1003761,STRAW,75.09
A1003767,STRAW,69.27
A1003787,BOWLER,133.85
A1003793,TOP,126.77
A1003805,STRAW,40.39
A1003827,STRAW,10.3
A1003853,BOWLER,132.78
A1003864,BOWLER,112.2
A1003876,FEZ,79.97
A1003895,FEDORA,138.13
A1003904,TRICORNE,15.6
A1003919,FLAT,62.62
A1003943,FEDORA,99.32
A1003955,FEZ,127.77
A1003963,STRAW,124.38
A1003986,STETSON,61.73
A1004001,TOP,120.38
A1004013,TRICORNE,96.66
A1004043,PANAMA,27.2
A1004057,SOMBRERO,90.2
A1004065,FLAT,17.98
A1004066,FEZ,59.11
A1004067,BOWLER,141.99
A1004094,TRICORNE,53.27
A1004095,FEZ,44.63
A1004109,SOMBRERO,80.12
A1004123,BOWLER,92.51
A1004152,TOP,91.13
A1004165,FLAT,14.98
A1004189,SOMBRERO,28.65
A1004202,FEDORA,119.43
A1004223,STETSON,116.22
A1004228,PANAMA,76.04
A1004245,STETSON,121.71
A1004269,FEDORA,129.04
A1004289,FEZ,100.73
A1004300,FLAT,126.89
A1004324,TOP,148.73
A1004336,TOP,13.26
A1004360,SOMBRERO,126.53
A1004385,FLAT,123.24
A1004399,FEDORA,80.37
A1004421,BOWLER,48.65
A1004426,STRAW,23.93
A1004431,BOATER,117.95
A1004438,TOP,34.68
A1004447,BOWLER,33.66
A1004476,TRICORNE,51.09
A1004490,STETSON,96.98
A1004503,STETSON,128.95
A1004506,BOATER,146.15
A1004514,FEDORA,84.59
A1004528,TOP,99.97
A1004543,BOWLER,103.79
A1004544,FEZ,112.64
A1004552,STRAW,106.63
A1004562,STETSON,77.75
A1004586,FEDORA,142.48
A1004609,FLAT,135.1
A1004638,FEDORA,112.5
A1004649,FEZ,56.02
A1004670,FLAT,134.41
A1004687,BOATER,95.25
A1004710,FEDORA,118.75
A1004735,STRAW,70.87
A1004750,FEZ,54.2
A1004776,STETSON,144.45
A1004779,FLAT,145.6
A1004786,TOP,16.9
A1004805,PANAMA,84.19
A1004808,FLAT,47.43
A1004815,TRICORNE,15.87
A1004817,BOATER,35.45
A1004847,BOATER,31.68
A1004870,FEDORA,147.4
A1004881,STETSON,70.52
A1004910,TOP,136.83
A1004939,FEDORA,123.74
A1004962,STRAW,23.44
A1004967,BOWLER,79.93
A1004988,BOATER,128.62
A1004990,STETSON,43.19
A1005010,FEDORA,92.97
A1005011,SOMBRERO,82.64
A1005021,TRICORNE,74.58
A1005029,FLAT,21.0
A1005050,FEZ,86.81
A1005070,FEDORA,75.98
A1005076,STRAW,56.92
A1005104,TRICORNE,72.78
A1005133,FLAT,123.34
A1005155,STRAW,105.59
A1005172,FLAT,133.76
A1005184,FEDORA,118.85
A1005197,FEZ,37.44
A1005201,TOP,105.47
A1005218,TRICORNE,66.23
A1005226,STETSON,106.93
A1005234,FLAT,120.72
A1005262,PANAMA,37.19
A1005282,STETSON,64.83
A1005296,BOWLER,22.96
A1005311,BOWLER,95.95
A1005317,FEDORA,134.41
A1005342,PANAMA,20.03
A1005363,TOP,76.85
A1005368,FEDORA,65.34
A1005376,TOP,134.49
A1005389,TRICORNE,24.07
A1005406,FEDORA,125.01
A1005413,FEDORA,27.38
A1005435,BOATER,16.51
A1005436,STRAW,88.24
A1005465,TRICORNE,132.04
A1005485,FLAT,108.67
A1005504,FEDORA,87.92
A1005509,BOWLER,112.85
A1005526,BOATER,79.91
A1005536,BOATER,102.99
A1005562,FEDORA,60.27
A1005577,PANAMA,61.83
A1005606,TRICORNE,86.31
A1005631,FEDORA,33.32
A1005660,TRICORNE,121.39
A1005684,BOATER,51.3
A1005691,SOMBRERO,83.07
A1005702,STRAW,21.25
A1005704,PANAMA,46.95
A1005706,PANAMA,130.07
A1005718,SOMBRERO,130.12
A1005727,FEZ,115.78
A1005756,STRAW,74.67
A1005785,TRICORNE,113.74
A1005794,FEZ,97.23
A1005799,TOP,98.34
A1005820,TRICORNE,112.82
A1005846,TRICORNE,30.01
A1005869,FEZ,79.95
A1005890,STRAW,75.44
A1005913,FLAT,57.58
A1005927,TRICORNE,110.3
A1005953,BOWLER,58.15
A1005973,BOATER,113.68
A1005981,BOATER,101.09
A1005993,FEZ,123.35
A1006014,FEDORA,47.2
A1006040,PANAMA,25.18
A1006046,STETSON,55.83
A1006047,FEZ,12.88
A1006066,STETSON,21.69
A1006087,FEDORA,60.47
A1006109,BOWLER,29.33
A1006139,SOMBRERO,40.99
A1006158,STRAW,129.8
A1006182,TRICORNE,67.69
A1006199,SOMBRERO,141.33
A1006209,FLAT,33.32
A1006234,FEZ,136.11
A1006253,STETSON,35.89
A1006271,TRICORNE,104.54
A1006274,SOMBRERO,140.35
A1006298,FLAT,102.1
A1006325,FEZ,72.29
A1006338,FEDORA,34.77
A1006361,TOP,13.65
A1006382,PANAMA,136.26
A1006387,FLAT,41.77
A1006401,PANAMA,82.21
A1006419,STRAW,16.88
A1006442,FLAT,117.63
A1006464,BOWLER,93.26
A1006473,BOWLER,39.45
A1006497,STETSON,79.73
A1006523,FEZ,140.32
A1006544,FEZ,96.55
A1006554,STRAW,72.42
A1006580,STETSON,75.83
A1006589,FLAT,20.47
A1006592,STETSON,71.17
A1006622,FLAT,35.57
A1006625,BOWLER,15.86
A1006644,TRICORNE,13.2
A1006649,BOATER,115.75
A1006664,STETSON,83.55
A1006690,BOWLER,27.05
A1006703,STRAW,10.65
A1006716,FEDORA,114.1
A1006738,FLAT,149.55
A1006760,STETSON,19.36
A1006784,TOP,19.02
A1006792,SOMBRERO,107.61
A1006801,FEZ,84.29
A1006811,FEZ,75.8
A1006817,STRAW,101.4
A1006831,TOP,105.09
A1006852,PANAMA,138.09
A1006874,TOP,135.39
A1006891,STRAW,49.23
A1006906,PANAMA,13.21
A1006908,BOATER,105.74
A1006915,FLAT,14.11
A1006938,TRICORNE,127.44
A1006942,BOATER,129.66
A1006971,TRICORNE,76.95
A1006998,STRAW,132.17
A1007000,BOWLER,74.08
A1007027,STETSON,97.56
A1007037,STETSON,54.5
A1007060,STETSON,93.23
A1007064,BOWLER,100.06
A1007076,FLAT,15.7
A1007085,TOP,106.31
A1007115,FEZ,65.94
A1007144,BOATER,54.63
A1007166,FLAT,113.84
A1007170,PANAMA,102.31
A1007176,STRAW,148.9
A1007185,FEDORA,129.87
A1007198,TRICORNE,91.72
A1007207,BOWLER,102.9
A1007237,FEZ,76.56
A1007241,BOATER,62.17
A1007266,TRICORNE,149.61
A1007269,FEDORA,147.67
A1007296,TRICORNE,18.47
A1007322,FEDORA,7.36
A1007346,BOATER,33.52
A1007361,TOP,26.21
A1007379,FEDORA,29.67
A1007400,BOWLER,5.77
A1007411,FEZ,49.65
A1007415,FEDORA,26.92
A1007430,FLAT,145.84
A1007454,BOWLER,131.69
A1007483,BOWLER,145.9
A1007484,PANAMA,41.09
A1007507,FLAT,127.81
A1007522,PANAMA,66.02
